# Radial distribution function (1000 data points):
# "Pair separation distance" C-C
2.52675 1.428513695 
2.53125 1.4288118711 
2.53575 1.4152148318 
2.54025 1.4204480735 
2.54475 1.4185829668 
2.54925 1.4108952304 
2.55375 1.4150768014 
2.55825 1.4138901042 
2.56275 1.4052600052 
2.56725 1.4042030711 
2.57175 1.4102583269 
2.57625 1.4093124821 
2.58075 1.4034371685 
2.58525 1.3992080763 
2.58975 1.3879507948 
2.59425 1.3897212248 
2.59875 1.3926944403 
2.60325 1.3874773778 
2.60775 1.381275558 
2.61225 1.3801529886 
2.61675 1.3737678987 
2.62125 1.3593353517 
2.62575 1.3587078224 
2.63025 1.3536645939 
2.63475 1.335192461 
2.63925 1.3301161006 
2.64375 1.3327499852 
2.64825 1.3355873677 
2.65275 1.3242112634 
2.65725 1.3202825532 
2.66175 1.3030594363 
2.66625 1.293176457 
2.67075 1.28956235 
2.67525 1.2854842232 
2.67975 1.2683869405 
2.68425 1.2758592368 
2.68875 1.2637510491 
2.69325 1.2586772541 
2.69775 1.2542293959 
2.70225 1.2402183259 
2.70675 1.2447122538 
2.71125 1.2368686011 
2.71575 1.2416725536 
2.72025 1.2314270022 
2.72475 1.218182012 
2.72925 1.1999031152 
2.73375 1.2061206976 
2.73825 1.2001089778 
2.74275 1.1825067735 
2.74725 1.18715023 
2.75175 1.184998237 
2.75625 1.1738213094 
2.76075 1.1618677875 
2.76525 1.1534673261 
2.76975 1.1407176633 
2.77425 1.1516610631 
2.77875 1.1313192518 
2.78325 1.1308043249 
2.78775 1.1250303631 
2.79225 1.1312091264 
2.79675 1.1174491815 
2.80125 1.1094748577 
2.80575 1.1099128118 
2.81025 1.0993867647 
2.81475 1.0913844861 
2.81925 1.0898955369 
2.82375 1.0864821 
2.82825 1.0857244228 
2.83275 1.0805330872 
2.83725 1.071292374 
2.84175 1.0637246124 
2.84625 1.058069047 
2.85075 1.0544488937 
2.85525 1.0588974559 
2.85975 1.0472049939 
2.86425 1.0387977714 
2.86875 1.0407840373 
2.87325 1.0374153026 
2.87775 1.029268278 
2.88225 1.0375492463 
2.88675 1.0257520912 
2.89125 1.0206672297 
2.89575 1.0139668568 
2.90025 1.0087764656 
2.90475 1.0071221032 
2.90925 1.0056629507 
2.91375 1.0049108304 
2.91825 1.0008977829 
2.92275 1.0038897428 
2.92725 0.9876015105 
2.93175 0.9951456498 
2.93625 0.9914322528 
2.94075 0.989621091 
2.94525 0.9809111444 
2.94975 0.9770765285 
2.95425 0.9790720821 
2.95875 0.9695159933 
2.96325 0.973369055 
2.96775 0.9776372777 
2.97225 0.9656128037 
2.97675 0.9544853102 
2.98125 0.9601788149 
2.98575 0.9655505024 
2.99025 0.9539713267 
2.99475 0.951362444 
2.99925 0.9528724505 
3.00375 0.9565821008 
3.00825 0.9573995998 
3.01275 0.9479677141 
3.01725 0.9397222076 
3.02175 0.9459234403 
3.02625 0.936020553 
3.03075 0.9421627228 
3.03525 0.940392485 
3.03975 0.9353252238 
3.04425 0.9417247527 
3.04875 0.927737122 
3.05325 0.9320452736 
3.05775 0.9320530955 
3.06225 0.930955529 
3.06675 0.926566124 
3.07125 0.9365534155 
3.07575 0.9290358663 
3.08025 0.9305563448 
3.08475 0.9377799681 
3.08925 0.9241562522 
3.09375 0.9212779304 
3.09825 0.9264216911 
3.10275 0.9157265174 
3.10725 0.9209914827 
3.11175 0.9250845232 
3.11625 0.9216821094 
3.12075 0.9236682262 
3.12525 0.9200468148 
3.12975 0.91590352 
3.13425 0.9219894943 
3.13875 0.9121261598 
3.14325 0.9185987464 
3.14775 0.9217647419 
3.15225 0.9111898071 
3.15675 0.9203623413 
3.16125 0.9176750635 
3.16575 0.9249377616 
3.17025 0.922153984 
3.17475 0.9175606659 
3.17925 0.9205505843 
3.18375 0.91324075 
3.18825 0.9240305111 
3.19275 0.9189060498 
3.19725 0.9253014643 
3.20175 0.923597806 
3.20625 0.921565189 
3.21075 0.9121047546 
3.21525 0.9163021936 
3.21975 0.9243246182 
3.22425 0.9178388265 
3.22875 0.9195530212 
3.23325 0.9232299331 
3.23775 0.9275615312 
3.24225 0.9302718252 
3.24675 0.9206410104 
3.25125 0.9258885466 
3.25575 0.925712461 
3.26025 0.922359894 
3.26475 0.9268598731 
3.26925 0.9392120466 
3.27375 0.9339979199 
3.27825 0.9253920838 
3.28275 0.929437342 
3.28725 0.9377258547 
3.29175 0.9353120243 
3.29625 0.9394346563 
3.30075 0.9390445575 
3.30525 0.930250135 
3.30975 0.9267795183 
3.31425 0.9419612851 
3.31875 0.93455356 
3.32325 0.9432457705 
3.32775 0.9454008741 
3.33225 0.9373100662 
3.33675 0.9395863727 
3.34125 0.9545924659 
3.34575 0.9485410352 
3.35025 0.9467715986 
3.35475 0.9447635317 
3.35925 0.9459354617 
3.36375 0.95869966 
3.36825 0.9484729585 
3.37275 0.9574434302 
3.37725 0.9555375286 
3.38175 0.9616855319 
3.38625 0.9582306067 
3.39075 0.9619966646 
3.39525 0.9596075982 
3.39975 0.9675726684 
3.40425 0.9685413282 
3.40875 0.9577101092 
3.41325 0.9659224744 
3.41775 0.9703946233 
3.42225 0.9728019871 
3.42675 0.969408305 
3.43125 0.9688360452 
3.43575 0.970732573 
3.44025 0.9783168353 
3.44475 0.9786828869 
3.44925 0.9787929295 
3.45375 0.9829586627 
3.45825 0.9913019591 
3.46275 0.9781045251 
3.46725 0.9941802507 
3.47175 0.9968789459 
3.47625 0.9978511099 
3.48075 0.9929048821 
3.48525 1.0040403629 
3.48975 0.9972690764 
3.49425 1.0022018427 
3.49875 0.9981069004 
3.50325 1.0048008101 
3.50775 1.0075402006 
3.51225 1.0024485104 
3.51675 1.0065094073 
3.52125 1.0170800288 
3.52575 1.022350239 
3.53025 1.0170753606 
3.53475 1.014487384 
3.53925 1.0207218663 
3.54375 1.0231933502 
3.54825 1.022768906 
3.55275 1.0274707723 
3.55725 1.0226058136 
3.56175 1.0280376371 
3.56625 1.0324282838 
3.57075 1.0357855696 
3.57525 1.0420851507 
3.57975 1.0375505652 
3.58425 1.0306237802 
3.58875 1.0385898898 
3.59325 1.0402383593 
3.59775 1.039393077 
3.60225 1.0334905285 
3.60675 1.0438977962 
3.61125 1.0440079121 
3.61575 1.038953272 
3.62025 1.0409598319 
3.62475 1.0423768112 
3.62925 1.0378071409 
3.63375 1.0425382705 
3.63825 1.0571601017 
3.64275 1.0453488519 
3.64725 1.0435300341 
3.65175 1.0514406112 
3.65625 1.0540214879 
